YEAR,RANKING,COMPANY,CUSTOMER SATISFACTION,EMPLOYEE ENGAGEMENT AND DEVELOPMENT,INNOVATION,SOCIAL RESPONSIBILITY,FINANCIAL STRENGTH,EFFECTIVENESS,gvkey,new_gvkey
2018,159,Gilead Sciences,51.1,54.3,51.2,57.4,58,56.9,24856,
2019,237,Gilead Sciences Inc,43.1,58.9,48,60.7,48.5,53.4,24856,
2020,95,Gilead Sciences Inc,54.7,60.6,59.6,64.5,49.2,62.2,24856,
2021,187,Gilead Sciences Inc,50.2,57.6,54.7,59.4,48.7,57.1,24856,
2017,298,Whole Foods Market,52.4,53.9,47.8,50.9,47.5,50.5,24893,
2021,410,Sunrun Inc,69.9,49.2,40,49,38.5,49.3,24905,
2017,580,Roper Technologies,51.4,31.3,51.2,38.4,48.6,40.2,24925,
2018,563,Roper Technologies,58.9,33.6,50,39.9,47.2,43.3,24925,
2019,500,Roper Technologies Inc,49.5,35,52,43.1,50.5,43.8,24925,
2020,564," Roper Technologies, Inc ",52.7,38.7,50.1,42,53.3,45.6,24925,
2021,761,"Roper Technologies, Inc",47.5,37.6,43.6,40.5,46.5,39.2,24925,
2018,359,Synopsys,47.7,58.6,46.6,46.4,48.6,49.1,24975,
2019,240,Synopsys Inc,56.4,57.9,46.6,50.2,52.3,53.3,24975,
2020,182,Synopsys Inc,53.7,62.6,55.6,48.2,55.6,57.2,24975,
2021,150,Synopsys Inc,58.6,60.4,53.9,54.3,53.7,59.2,24975,
2017,498, L-3 Communications ,53.1,45,46.4,37.3,49.7,43.5,25053,
2017,283,Time Warner,44.9,55,43.8,52.5,57.2,51,25056,
2017,262,Mohawk Industries,48.6,46.9,50.3,55.4,54.5,51.7,25119,
2018,335,Mohawk Industries,51.4,48,46.5,54,50.1,50.1,25119,
2020,315, Mohawk Industries Inc ,58.3,45.3,52.6,52.4,47.5,51.8,25119,
2021,476,Mohawk Industries Inc,53.1,43,46.9,50.4,47.7,47.5,25119,
2020,91,Linde plc,58.8,53.9,61.7,66.6,48.1,62.6,25124,
2021,63,Linde plc,67,51.5,63.8,66.5,48.7,66,25124,
2018,502,Tailored Brands,50.7,47.6,45.1,48,43.1,45.2,25167,
2019,614,Tailored Brands Inc,47.1,34.8,44,46.9,34.9,36.9,25167,
2020,697,"Tailored Brands, Inc",46.5,40.9,45.3,52.6,36,42,25167,
2017,370,AGCO,58.6,43.7,46.9,52.3,44.1,48.3,25180,
2018,421,AGCO,59.3,43.8,46.4,50.1,42.9,47.4,25180,
2019,485,AGCO Corp,40.9,51.7,45.8,44.9,46.8,44.2,25180,
2020,328,AGCO Corp,52.4,56.1,51.6,49.2,46.2,51.5,25180,
2021,355,AGCO Corp,53.1,52.3,46.9,50.1,51.6,50.9,25180,
2021,345,Universal Display Corp,51.7,48.3,44.4,48.7,67,51.2,25274,
2017,216,Boston Scientific,42.4,59.4,58,54.1,48.5,53.8,25279,
2018,98,Boston Scientific,42.9,63.9,60.7,62.9,53.2,61,25279,
2019,87,Boston Scientific Corp,57.5,64.5,61.3,57.6,49.6,61.9,25279,
2020,101, Boston Scientific Corp ,48,63.8,62.6,64.7,47.3,61.9,25279,
2021,173,Boston Scientific Corp,44.6,62.8,53.1,66.1,43.3,57.8,25279,
2017,313,Kohl?€?s,58.9,41.6,47.7,56.5,46.6,50.2,25283,
2018,275,Kohl&#8217;s,59.7,45,45.9,60,47,52.4,25283,
2019,304,Kohls Corp,58.7,45.8,46.2,57,47.2,50.7,25283,
2020,375,Kohl&#8217;s Corp,53.3,46.4,46.7,60.2,42.7,50.2,25283,
2021,283,Kohl&#8217;s Corp,57.2,41.2,52.6,60.1,45.3,53.2,25283,
2019,465,Steris plc,45.3,45,45.9,48.9,48.1,45,25313,
2020,449,STERIS plc,53.9,48.1,44.6,47.2,53.5,48.5,25313,
2021,503,STERIS plc,56,49.3,42.6,45.4,46.2,46.5,25313,
2017,521,Bed Bath &amp; Beyond,52.6,32,48,44.9,50.4,42.6,25338,
2018,555,Bed Bath &amp; Beyond,58.5,31.4,49.1,45.5,44.9,43.5,25338,
2019,601,Bed Bath &amp; Beyond Inc,61.2,28,48.5,44,34.8,38.3,25338,
2020,761, Bed Bath &amp; Beyond Inc ,54.2,31.8,47.4,46,35,39.7,25338,
2021,612,Bed Bath &amp; Beyond Inc,56.8,33.4,53.2,42.3,43.2,43.9,25338,
2017,480,D.R. Horton,48.4,51.3,45.2,35.9,52.9,44.3,25340,
2018,570,D.R. Horton,43.9,51.1,44.9,35.3,53.8,43.1,25340,
2019,347,D.R. Horton Inc,47.8,56.7,44.8,42.1,55.7,48.9,25340,
2019,36,Marriott International Inc,60.8,55.4,74.9,60.6,57.6,67.9,25355,
2017,476,Express Scripts,48.9,41,47.2,44.6,51.6,44.4,25356,
2018,365,Express Scripts,45.6,46.3,46.4,51.3,56.4,49,25356,
2017,639, Universal Health Services ,43.4,36.1,44.7,35.7,51.2,37.3,25361,
2018,665,Universal Health Services,43.3,40.6,46.4,39.1,47.1,39.7,25361,
2020,517, Graphic Packaging Holding Co ,49.3,45.7,47.2,46.7,50.6,46.6,25389,
2021,598, Graphic Packaging Holding Co ,48.4,42.1,41.8,52.1,45,44.2,25389,
2017,27,Starbucks,45.7,55.3,74,64.1,75.6,69.8,25434,
2018,14,Starbucks,52.5,57.9,80.8,65.4,76.5,76.2,25434,
2019,29,Starbucks Corp,46.7,58.7,75.9,63,64,69,25434,
2020,118,Starbucks Corp,48.2,55.3,63.8,60.7,54.2,60.5,25434,
2021,82,Starbucks Corp,50.2,52.5,68.4,62.1,59.3,63.6,25434,
2021,602," Albertsons Companies, Inc ",41.7,42.8,56.6,39.3,51.8,44.1,25645,
2020,735,ASGN Incorporated,37.5,45.3,47.9,36.9,51.2,40.5,25749,
2021,735,ASGN Incorporated,43.1,41.8,46.6,40.3,46.9,40.2,25749,
2017,470,Patterson Companies,51.3,43.4,45,48.5,45.7,44.7,25880,
2018,582,Patterson Companies,52.6,39.1,44.7,47.8,42,42.7,25880,
2020,709,Patterson Cos Inc,50.9,46.2,44.7,44.1,36.3,41.6,25880,
2021,602,Patterson Cos Inc,45.6,56,41.2,42.7,47.1,44.1,25880,
2018,539,Graphic Packaging,52.2,43.6,47.2,44.6,44,44.1,26008,
2020,549,"Match Group, Inc.",43,39.7,47.5,39.4,69.4,45.9,26061,
2021,726,"Match Group, Inc",35.9,38.2,49.5,40.8,58.8,40.7,26061,
2021,644,Novocure Limited,42.6,50.5,43.2,34.7,65.1,43.1,26123,
2017,77, Hewlett Packard Enterprise ,79.4,41.2,63.5,62,44.4,61.8,26156,
2018,114,Hewlett Packard Enterprise,55.1,43.5,67.5,69.4,43.6,60,26156,
2019,112,Hewlett Packard Enterprise Co,60.9,45.2,59.9,70,47.6,59.9,26156,
2020,50, Hewlett Packard Enterprise Co ,57.7,50.8,75.1,70.7,49.3,67.8,26156,
2021,55, Hewlett Packard Enterprise Co ,57.5,58.4,65.4,70.7,45.5,66.7,26156,
2017,173,CSRA?€?,93.6,31.8,48.6,43,57.9,55.2,26304,
2018,523,Fortive,52.2,45.7,46.5,37.5,52.3,44.6,26590,
2020,379,Fortive Corp,60,44.5,54.5,45.2,47.1,50.1,26590,
2021,507,Fortive Corp,56.8,40.3,46.2,47.8,47.1,46.4,26590,
2019,449,Avangrid Inc,43.5,37.5,56.2,52.9,43.8,45.6,26658,
2020,611,Avangrid Inc,32,42.1,50.1,56,47.7,44.5,26658,
2021,550,Avangrid Inc,30.4,48,48,60.2,43.9,45.5,26658,
2018,711,Liberty Expedia Holdings,33.7,60.2,48.1,33.5,31.6,36.8,27054,
2018,368,Adient,64,47.2,50.3,44,43.2,48.9,27333,
2020,801,Adient Inc.,38.4,46.7,46.8,38.3,39.3,38,27333,
2021,728,Adient Inc,46.8,42,46.8,39.9,43.8,40.6,27333,
2020,347,Twilio Inc-A,54.9,60,53.6,42,44.3,51,27364,
2021,280,Twilio Inc-A,60.4,65.5,51.3,43.6,39.1,53.3,27364,
2017,88,Alcoa,63,47.7,75.1,58.7,42.2,60.8,27638,
2018,256,Alcoa,55,48.8,52.8,56.8,45.8,53,27638,
2019,213,Alcoa Corp,57.6,51.7,53.6,56.1,46.2,54,27638,
2020,236,Alcoa Corp,50.2,56.4,53.8,61.5,40.5,54.5,27638,
2021,203,Alcoa Corp,58.5,53.2,50.4,61.8,44,56.6,27638,
2017,667, Chesapeake Energy ,42.8,49.7,41.3,46.3,18.3,34.2,27786,
2018,505,Chesapeake Energy,42.8,53.1,43.5,50.5,43.5,45.1,27786,
2018,593,LSC Communications,41.5,55.4,46.8,42.9,38.3,42.3,27802,
2019,375,Allergan plc,47.3,51.3,51,60.2,33.1,47.9,27845,
2020,717, Equity Lifestyle Properties Inc ,43.7,51,38.4,39.2,51.5,41.2,27875,
2021,733, Equity Lifestyle Properties Inc ,39.9,41.7,48.6,40.6,48.5,40.3,27875,
2020,423,"The Trade Desk, Inc.",50.6,48.7,44.9,37.2,71.3,49.2,27885,
2017,167,Humana,53.2,54.4,43.3,62.5,54.3,55.6,27914,
2018,203,Humana,57.4,53.6,45.7,58.9,51.6,55.1,27914,
2019,164,Humana Inc,54.6,53.9,51.9,56.5,54.4,56.2,27914,
2020,150,Humana Inc,63.7,54.7,48.8,51.7,64.1,58.7,27914,
2021,73,Humana Inc,62.8,61.8,59.4,59.5,51.1,64.2,27914,
2017,24,Intuit,50.2,79.9,51.4,58.6,75.1,70.1,27928,
2018,30,Intuit,51.5,73.2,56.6,64.6,72.7,71,27928,
2019,20,Intuit Inc,57,71.1,55.1,65.1,76.7,73,27928,
2020,48,Intuit Inc,60.6,71.7,53.1,64.4,62.9,68.2,27928,
2021,77,Intuit Inc,54.8,68.3,57.6,57,59.3,63.9,27928,
2017,313, Microchip Technology ,51.8,52.3,47.6,51.4,48.5,50.2,27965,
2018,286,Microchip Technology,51,57.4,47.3,51.4,49.4,51.8,27965,
2020,520, Microchip Technology Inc ,44.2,46.6,52.5,48.7,44.7,46.5,27965,
2021,644, Microchip Technology Inc ,39.5,45,50.7,45.7,45.4,43.1,27965,
2017,173,Chubb?€?,39.9,49.3,79.8,44.6,54,55.2,28034,
2019,302,Chubb Ltd,47.4,45.8,59.9,53.2,45.4,50.8,28034,
2020,375,Chubb Limited,53,49.3,52,53,42.3,50.2,28034,
2021,271,Chubb Limited,52.8,47.4,50.3,51.9,62.4,53.5,28034,
2020,253," Coupa Software, Inc. ",61.2,70.9,41.6,42.4,52.4,53.8,28084,
2021,640,"Coupa Software, Inc",56.3,62.5,42.5,36.5,28.3,43.2,28084,
2017,433,Sanmina,61.3,28.5,50,48.7,51.8,46.3,28139,
2018,627,Sanmina,61.8,27.5,45.7,42.8,44.8,41.2,28139,
2020,733,Sanmina Corp,56.3,26.3,46.2,43.6,46.6,40.6,28139,
2021,701,Sanmina Corp,55.9,30.3,45.3,44,47.1,41.5,28139,
2017,288,Agrium?€?,58.5,42,50.3,56.7,45.8,50.8,28169,
2017,471,O?€?Reilly Automotive,54.8,39.1,41.9,33.5,66.9,44.6,28180,
2018,383,O?€?Reilly Automotive,56.9,39.9,42.6,37.9,70.8,48.5,28180,
2019,421,O&#8217;Reilly Automotive Inc,58.6,38.7,43,39.2,62.8,46.6,28180,
2020,564,O&#8217;Reilly Automotive,53.1,37.4,41.6,41.8,65.4,45.6,28180,
2021,631,O&#8217;Reilly Automotive,53.7,34.8,40.9,39.6,67.8,43.5,28180,
2017,259, Royal Caribbean Cruises ,43.5,53.3,44.7,59.1,54.4,51.8,28191,
2018,248,Royal Caribbean Cruises,42,55.7,45.1,63.5,52.1,53.3,28191,
2019,196,Royal Caribbean Cruises Ltd,47.9,57,47.1,61.5,52.2,55.1,28191,
2020,379, Royal Caribbean Cruises Ltd ,36.6,58.6,54.9,58.5,37.4,50.1,28191,
2021,566,Royal Caribbean Group,38.5,61.4,48.8,56.9,17.2,45.1,28191,
2021,425,Howmet Aerospace Inc,56.8,34.5,49.7,56,46,48.8,28192,
2021,198,Avient Corp,62.2,57,49.5,55.8,46.5,56.8,28194,
2017,343,Jabil Circuit,61.9,43,47.4,51.7,44.6,49.1,28195,
2018,315,Jabil,60.1,45.4,46.2,55.2,46.4,50.8,28195,
2020,302,Jabil Inc,52,53.6,46.7,55.4,50,52.2,28195,
2021,267,Jabil Inc,54.1,51.5,45.6,59,50.6,53.6,28195,
2017,509, Reinsurance Group of America ,39.1,60.4,38.7,42.9,46.8,43.1,28216,
2018,595,Reinsurance Group of America,37.1,57.7,42.9,42.1,44.8,42.2,28216,
2019,454,Reinsurance Group of America Inc,41.6,61.7,42.6,42,46.2,45.2,28216,
2020,661, Reinsurance Group of America ,33.6,59.9,44.5,44.7,43.7,43,28216,
2021,626, Reinsurance Group of America ,33.6,61.5,42,46.9,45.5,43.6,28216,
2018,657,Universal Forest Products,45.9,46.1,43.1,37.5,46.4,40.1,28281,
2020,803, Universal Forest Products ,43.3,33.4,42.8,37.5,54.1,37.9,28281,
2017,253,CDW?€?,61.8,58.3,49.9,36.5,53.5,51.9,28320,
2018,359,CDW,51.3,52.2,45.3,41,59.3,49.1,28320,
2019,273,CDW Corp,50.3,55,48.6,46.4,56.5,51.9,28320,
2020,353,CDW Corp,54.1,56.6,45.1,43.7,56.9,50.8,28320,
2021,544,CDW Corp,48.4,52,44.4,40.3,54.9,45.6,28320,
2017,660,Transocean,32.5,48,43.3,40.7,37.3,35.1,28338,
2020,809,Transocean Ltd,38.7,42.7,41,45.8,39.4,37.5,28338,
2021,789,Transocean Ltd,31.2,45.7,43,45.4,42.7,37.5,28338,
2017,118,Allstate,55.3,51.9,63.6,58.3,49.8,58.7,28349,
2018,39,Allstate,57.9,51.9,91,59.9,50.5,69.6,28349,
2019,24,Allstate Corp,58.6,48.1,94.6,65.2,50.6,70.9,28349,
2020,62,Allstate Corp,61.2,46.4,67.5,63.4,60.6,65.3,28349,
2021,50,Allstate Corp,60.1,42.3,73.8,62.7,67.8,67.4,28349,
2018,745,Lions Gate Entertainment,47.8,20.2,45.8,36.8,39.4,31.8,28378,
2019,618,Lions Gate Entertainment Corp,53.2,34.7,44.2,38.7,38.1,36.5,28378,
2020,699, Lions Gate Entertainment (US)-A ,50.3,42.2,45.6,42,43.6,41.9,28378,
2021,746, Lions Gate Entertainment (US)-A ,50,39.2,45.5,39.6,42.9,39.9,28378,
2018,537,FLIR Systems,48.8,48.3,46.6,39.5,49.1,44.2,28477,
2020,361,FLIR Systems Inc,57.9,52.4,52.3,43,48.4,50.6,28477,
2019,536,Brinks Co,57,37,42.8,41.6,49.5,42.2,28590,
2020,692,The Brink&#8217;s Co,54.8,36.3,46.6,42.1,44.9,42.1,28590,
2021,701,The Brink&#8217;s Co,51.3,31.1,55.2,39.3,44.7,41.5,28590,
2019,359,Camden Property Trust,33.8,74.6,43.5,45.5,44.6,48.3,28629,
2020,315, Camden Property Trust ,48.2,71.1,45.8,45.7,48.1,51.8,28629,
2021,323,Camden Property Trust,48.8,70.5,46.6,46.7,43.8,51.9,28629,
2018,740,Conduent,46.3,27.1,45.1,39.5,39.5,34.1,28719,
2020,815,Conduent Inc,49.1,27.9,45.2,45.9,36.9,37,28719,
2021,781,Conduent Inc,49.1,29.8,45.5,42.2,42.9,37.9,28719,
2017,352,Equity Residential?€?,50.6,62.6,43.8,44.6,45.1,48.8,28733,
2020,315,Equity Residential,52.9,66,39.6,50.3,50.6,51.8,28733,
2021,369,Equity Residential,49.2,63.5,39,54,46.3,50.6,28733,
2017,288,BorgWarner,64.3,49.4,50.5,48.2,42.4,50.8,28742,
2018,220,BorgWarner,65.5,52,48.4,50.7,49.8,54.3,28742,
2019,267,BorgWarner Inc,58.1,52.1,49.3,52.1,48.4,52.2,28742,
2020,245,Borgwarner Inc,61.7,48.8,53.9,53,46.6,54.1,28742,
2021,191,Borgwarner Inc,64.1,48.9,50.8,58.6,48.6,57,28742,
2017,437,SpartanNash,61.9,36.4,47,49.7,44.6,46.2,28762,
2018,588,SpartanNash,52.4,43.4,45.4,46.3,38.4,42.5,28762,
2019,626,SpartanNash Co,39.1,33.7,46.3,40.3,39.5,34.8,28762,
2020,789, SpartanNash Company ,40.9,34.7,44,44.9,46.8,38.6,28762,
2021,802,SpartanNash Company,37.1,37.5,43.7,42.8,43.7,36.4,28762,
2017,445, Performance Food Group?€? ,64.8,37.1,49.7,42.8,45.6,45.8,28787,
2019,570,Performance Food Group Co,54.5,36.8,46.6,38.8,46.1,40.8,28787,
2020,766, Performance Food Group Co ,46.9,40.5,45.6,38.5,44.3,39.5,28787,
2018,343,Lamb Weston,64.3,44.4,48.5,39,56,49.7,28790,
2020,466, Lamb Weston Holdings Inc ,54,46.4,47.9,44.2,52.3,47.9,28790,
2021,528, Lamb Weston Holdings Inc ,51,47.5,45.9,45.4,46.9,45.8,28790,
2019,333,Keurig Dr Pepper Inc,62.7,47.7,47,57.2,38.6,49.6,28877,
2020,225,Keurig Dr Pepper Inc,66.5,48.8,49.5,54.7,49.3,55.2,28877,
2021,209,Keurig Dr Pepper Inc,66.3,49.9,48.3,56.5,48.3,56.2,28877,
2017,385,Barnes &amp; Noble,53,45.3,55.1,49.9,40.9,47.8,28924,
2018,657,Barnes &amp; Noble,50.4,42.5,48.7,45.8,30.1,40.1,28924,
2019,498,Barnes &amp; Noble Inc,56.1,40.3,50.9,45.1,40.5,43.9,28924,
2017,20,Marriott International,63.1,64.2,72.7,59,59.5,70.6,28930,
2018,34,Marriott,61.9,57.2,73.1,61.5,60.7,69.9,28930,
2020,150,Marriott Intl A,62.2,46,62,58.1,49.3,58.7,28930,
2021,100,Marriott Intl A,60.7,52.7,62,60.7,48.6,61.7,28930,
2017,476,Cooper Companies,51.9,45.2,47.3,40.1,49.6,44.4,28942,
2018,532,Cooper Companies,48,54.1,44.5,39.8,47.1,44.4,28942,
2019,512,Cooper Companies Inc,45,50,46.5,37.4,49.2,43.2,28942,
2020,797, Cooper Companies Inc ,52.9,28.4,43.8,39.1,48.1,38.3,28942,
2021,687,Cooper Companies Inc,54.4,30.9,42.5,41.4,59.2,41.9,28942,
2020,835,Boyd Gaming Corp,38.5,37.4,44.6,36.8,42.7,35.1,29011,
2021,158,Deckers Outdoor,63.2,53,49.2,53.8,63.9,58.8,29015,
2017,163,Costco Wholesale,59.7,63.7,49.4,41.3,57.6,55.8,29028,
2018,97,Costco Wholesale,58.6,66.5,54,49.9,59.6,61.1,29028,
2019,82,Costco Wholesale Corp,61,66.7,54.5,52.2,59,62.4,29028,
2020,74, Costco Wholesale Corp ,64.5,61.3,59.5,52.2,61.8,64,29028,
2021,139,Costco Wholesale Corp,50.2,61.6,58.9,49.6,65,59.5,29028,
2020,227, Regency Centers Corp ,55.3,57.1,46.4,62.8,44.4,54.9,29099,
2021,267,Regency Centers Corp,52,61.9,43.4,58.7,43.6,53.6,29099,
2020,842, Patterson-UTI Energy Inc ,42.6,39.5,41.4,41.8,30.8,34.2,29108,
2017,532,Incyte,44.4,51.8,52.3,36.7,41,42.1,29127,
2018,566,Incyte,50.4,52.8,50.4,38.7,36.8,43.2,29127,
2019,292,Incyte Corp,51.4,53.1,49.7,42.7,58.2,51.2,29127,
2020,575,Incyte Corp,44.5,52.5,48.5,40,50.2,45.3,29127,
2021,598,Incyte Corp,50.1,47.9,45.5,41.2,48.2,44.2,29127,
2017,594,Urban Outfitters,48.2,39,46.7,36.2,47.9,39.4,29150,
2018,558,Urban Outfitters,53.3,37.9,46.1,40.3,52.2,43.4,29150,
2019,353,Urban Outfitters Inc,57.7,45,47.7,50.1,47.7,48.6,29150,
2020,502,Urban Outfitters,53.3,41.1,50.1,51.9,42.9,47.1,29150,
2021,580,Urban Outfitters,51.8,41.4,48.3,44.7,46.3,44.7,29150,
2020,768,"UFP Industries, Inc",43.3,35.4,43.7,39.5,54.1,39.4,29156,
2021,791,"UFP Industries, Inc",43.3,42.5,40.3,31.7,57.6,37.3,29156,
2017,145,TJX,51.9,51.3,47.1,54.7,68.2,56.9,29276,
2018,72,TJX,56.5,54.3,48.8,62.9,71.6,63.5,29276,
2019,128,TJX Companies Inc,54.9,55,47.9,60.6,61.2,58.9,29276,
2020,657,Sun Communities,43.6,65.6,39.1,34.8,48.2,43.1,29359,
2021,746,Sun Communities,42.7,49.6,41.4,39.7,45.1,39.9,29359,
2017,518,Simon Property Group,45.4,38.1,48,44.6,51.3,42.7,29389,
2018,359,Simon Property Group,39.2,42.8,56.5,52.4,53.5,49.1,29389,
2019,476,Simon Property Group Inc,39.9,40.3,41.7,52.5,54.8,44.4,29389,
2020,539, Simon Property Group A ,49.1,39.1,42.1,53.2,53.6,46,29389,
2021,674, Simon Property Group A ,47.7,32.9,41.7,51.4,50.7,42.2,29389,
2017,118,Eastman Chemical,60.7,61.5,52.8,54.7,49.8,58.7,29392,
2018,107,Eastman Chemical,65.9,58.4,53.3,59.3,48.4,60.4,29392,
2019,164,Eastman Chemical Co,63.3,58.7,50.1,57.1,45.3,56.2,29392,
2020,182, Eastman Chemical Co ,54.1,51.6,56.9,62,47,57.2,29392,
2021,162,Eastman Chemical Co,65.3,56.6,49.8,59.4,44.4,58.6,29392,
2018,10,International Business Machines,73,51.5,82.4,73.4,63.6,79.2,29437,
2019,6,International Business Machines Corp,70.7,51.2,99.8,68.1,62.1,80.8,29437,
2017,562,Cheniere Energy,49.2,54.2,39.2,35.5,44.5,40.9,29453,
2018,623,Cheniere Energy,48.6,52.6,42.4,38.2,42,41.4,29453,
2020,479,Cheniere Energy Inc,51.3,55.4,40.2,44.8,53.7,47.6,29453,
2021,657,Cheniere Energy Inc,59.3,39.9,41.7,47.2,35.1,42.7,29453,
2017,249,AES,45.7,57.5,55.2,57,40.6,52,29478,
2018,192,AES,64.2,55.2,49.6,58.6,42,55.7,29478,
2019,209,AES Corp,48,58.4,50.7,61.4,45.2,54.4,29478,
2020,112,AES Corp,52.9,63.8,62.2,57.9,49.1,61.2,29478,
2021,115,AES Corp,53.6,66.5,57.3,59.7,43.6,60.6,29478,
2020,703, Mid-America Apt Communties ,41.5,55.9,40,39.4,48.4,41.8,29649,
2021,769, Mid-America Apt Communties ,38.7,54.7,37.9,38.5,46.3,38.8,29649,
2017,609, Martin Marietta Materials ,39.2,44.1,43.9,38.3,49.7,38.8,29733,
2018,578,Martin Marietta Materials,41.7,52.8,44.3,42,45.8,42.8,29733,
2020,511, Martin Marietta Materials ,51.8,52,43.2,45.1,49.9,46.9,29733,
2021,598, Martin Marietta Materials ,45.9,52.6,42.2,44,47.9,44.2,29733,
2017,343,Tractor Supply,56,38.6,46.4,50.1,57.3,49.1,29736,
2018,319,Tractor Supply,61.7,40.3,44.7,48.7,58.5,50.7,29736,
2019,285,Tractor Supply Co,61.9,45.3,45.9,53.4,52.2,51.5,29736,
2020,240,Tractor Supply Co,68.1,43.6,43.6,54.2,58.5,54.4,29736,
2021,255,Tractor Supply Co,61.8,48.6,45.1,53.7,56.6,54.1,29736,
2017,237,Albemarle,59.1,47.3,47.4,56.2,49.7,52.8,29751,
2018,148,Albemarle,66.4,53.7,50.2,57.3,47.7,57.3,29751,
2019,277,Albemarle Corp,57.7,49.6,49.5,53.4,48,51.7,29751,
2020,407,Albemarle Corp,49,49.1,49.2,53.2,47.2,49.5,29751,
2021,303,Albemarle Corp,56.5,49.8,50.4,53.4,46.4,52.5,29751,
2017,456,Invesco,43.5,52.8,44.5,48.2,46.7,45.5,29804,
2018,372,Invesco,47.7,58.6,44.1,52.3,43.5,48.8,29804,
2019,427,Invesco Ltd,42.8,53.9,43.8,52.8,44,46.4,29804,
2020,502,Invesco Ltd,46.7,52.7,43.8,51.2,46.5,47.1,29804,
2021,355,Invesco Ltd,44.2,64.6,45.4,51.8,46.5,50.9,29804,
2017,544,Westrock,45.8,40.7,49.3,44.7,43.7,41.7,29830,
2018,539,Westrock,48.3,42.5,55.5,41.1,43.3,44.1,29830,
2020,353,WestRock Co,52.1,46.7,55.3,49.1,48.8,50.8,29830,
2021,489,WestRock Co,52.6,44,50.3,48.8,42.2,47,29830,
2017,565,Macerich?€?,39.1,40.8,43.8,52.2,42.1,40.7,29868,
2020,479,Macerich Co,49.5,48.7,41.9,54.4,48,47.6,29868,
2017,303, AvalonBay Communities ,45.3,61.1,42.5,55.3,46.4,50.4,29875,
2018,305,AvalonBay Communities,36.9,67.4,43.4,59.8,44.4,51.1,29875,
2019,230,AvalonBay Communities Inc,41,67.9,46.2,59.5,45.2,53.6,29875,
2020,292, AvalonBay Communities Inc ,48,64.9,41.1,57.2,48.5,52.6,29875,
2021,297, AvalonBay Communities Inc ,46.1,58.8,45.6,60.1,45.5,52.7,29875,
2018,494,Copart,50.4,40.1,48.1,35.2,62.9,45.3,29901,
2019,411,Copart Inc,55.1,34.2,48.9,37.6,65.8,46.9,29901,
2020,620,Copart Inc,50.3,35.4,46.7,36.5,65.1,44.2,29901,
2021,682,Copart Inc,49.3,39.7,48.3,32.4,61,42,29901,
2018,653,ScanSource,42.9,48.9,46,38.1,42.7,40.2,29910,
2020,733,ScanSource Inc,44.4,48.5,44.7,39.9,41.9,40.6,29910,
2021,748,ScanSource Inc,45.9,42.2,42.7,42.9,42.3,39.8,29910,
2017,491,AK Steel,56.2,41.5,46.5,42.8,45.2,43.9,29968,
2018,551,AK Steel,53,40.2,48.1,47.9,39.7,43.6,29968,
2017,96,Prologis?€?,62.2,64.2,43.8,65.7,46.4,60.3,29984,
2020,170,ProLogis Inc,54.3,71.9,41.6,59.7,50.5,57.7,29984,
2021,115,ProLogis Inc,60.3,68.3,44.5,63.3,46.2,60.6,29984,
2020,785,Invitation Homes,46.6,40.8,43.1,37.9,45.2,38.7,30004,
2021,674,Invitation Homes,40.8,54.2,43.7,41.8,44.9,42.2,30004,
2018,248,American Eagle Outfitters,61,53.3,46.9,49,52.9,53.3,30059,
2019,262,American Eagle Outfitters Inc,64.9,51.9,47.2,49.9,49.2,52.5,30059,
2020,407, American Eagle Outfitters ,63.5,45.2,45.3,54.4,40.5,49.5,30059,
2021,365, American Eagle Outfitters ,62,43.7,47.5,50.8,48,50.7,30059,
2020,491,"Snap, Inc.",58.6,46.3,53.2,43.3,40.5,47.4,30091,
2021,293,"Snap, Inc",48.8,54,61.1,48.2,44.9,52.9,30091,
2017,91,Ingersoll-Rand,62.6,57.1,47.8,64.7,51.7,60.5,30098,
2018,107,Ingersoll-Rand,64.2,57.3,48.2,65,50,60.4,30098,
2019,131,Ingersoll-Rand PLC,52.9,60.5,50.3,62.6,51.8,58.5,30098,
2020,189,Ingersoll Rand Inc.,64.2,63.3,52,51.3,44.1,56.9,30098,
2021,717,Ingersoll Rand Inc,39.1,52.7,45.9,39.9,43.1,41,30098,
2018,242,Nektar Therapeutics,53,52.8,44.2,39.8,75,53.6,30137,
2019,474,Nektar Therapeutics,39.7,56.7,44.9,35.1,54.4,44.5,30137,
2020,818,Nektar Therapeutics,47.6,53.2,47.3,35.6,20.4,36.4,30137,
2018,642,Penn National Gaming,38.9,46.8,46.1,39.7,48.4,40.8,30259,
2019,608,Penn National Gaming Inc,37.2,46.4,46.3,33.7,44.9,37.7,30259,
2017,647,Essex Property Trust,37.9,42,42.5,38.9,45.6,36.4,30293,
2018,697,Essex Property Trust,33.8,52.4,42.3,38.1,42.6,37.6,30293,
2019,602,Essex Property Trust Inc,33.8,43.8,40.8,43.8,46,38.1,30293,
2020,491, Essex Property Trust ,48.2,64.1,38.8,41.7,53,47.4,30293,
2021,524,Essex Property Trust,45.4,60.5,38.6,48.2,44.5,45.9,30293,
2020,730, Fresh Del Monte Produce ,56.4,38.2,43.8,38.2,44.6,40.7,30443,
2021,575, Fresh Del Monte Produce ,59.6,41.1,46.5,42.3,43.8,44.8,30443,
